MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21815428,675000.0,85718,-110.932849,32.316148,1.2,3026,1963,3,3,2432.0,0.0,1,4.0,0,1,0,1,277.5493421052632,225000.0,1.0,1,32.316148-110.932849
21413532,675000.0,85750,-110.823498,32.288935,1.15,6733,2002,4,3,3185.0,3.0,2,110.0,0,1,0,1,211.9309262166405,168750.0,0.75,0,32.288935-110.823498
21218734,1290000.0,85737,-110.97797,32.40919,3.45,11701,2006,5,5,4881.0,3.0,2,137.0,1,0,0,1,264.2901044867855,258000.0,1.0,1,32.40919-110.97797
21730801,950795.0,85719,-110.938701,32.243375,0.2,0,2018,3,3,2580.0,3.0,1,125.0,1,0,1,0,368.5251937984496,316931.6666666667,1.0,1,32.243375-110.938701
21920107,875000.0,85615,-110.244722,31.416164,8.0,9111,2012,3,3,4412.0,4.0,2,0.0,1,0,0,1,198.3227561196736,291666.6666666667,1.0,0,31.416164-110.244722
21514074,1015000.0,85749,-110.717757,32.246043,3.3,7302,1963,4,5,5474.0,3.0,3,0.0,0,1,0,1,185.42199488491048,253750.0,1.25,0,32.246043-110.717757
21503326,700000.0,85749,-110.783374,32.307212,0.74,8485,2005,3,4,2826.0,2.0,3,120.0,0,1,0,1,247.69992922859169,233333.3333333333,1.3333333333333333,1,32.307212-110.783374
21602975,870000.0,85718,-110.91621,32.305963,0.96,6622,1992,4,3,3731.0,3.0,3,0.0,1,0,0,1,233.18145269364783,217500.0,0.75,1,32.305963-110.91621
21726470,670000.0,85745,-111.033703,32.207718,3.23,6414,1999,4,3,4000.0,3.0,1,14.0,0,1,1,0,167.5,167500.0,0.75,0,32.207718-111.033703
21316929,555000.0,85718,-110.91481,32.305569,1.32,3039,1974,3,3,2579.0,2.0,1,0.0,0,1,0,1,215.1996898022489,185000.0,1.0,1,32.305569-110.91481
21206785,720000.0,85755,-110.981723,32.427096,0.99,6511,1999,4,4,3415.0,3.0,3,66.0,1,0,0,1,210.8345534407028,180000.0,1.0,0,32.427096-110.981723
21609262,625000.0,85750,-110.812505,32.27526,0.5,5773,1984,5,4,4010.0,2.0,1,59.0,1,0,0,1,155.86034912718205,125000.0,0.8,0,32.27526-110.812505
21631748,595000.0,85745,-111.042519,32.24074,1.52,6156,2000,5,4,3593.0,3.0,1,54.0,0,1,0,1,165.59977734483718,119000.0,0.8,0,32.24074-111.042519
21714785,645000.0,85718,-110.882292,32.331215,0.96,4996,1963,4,5,3068.0,0.0,3,258.0,1,0,0,1,210.23468057366364,161250.0,1.25,0,32.331215-110.882292
21800277,583110.0,85749,-110.770012,32.252851,3.33,4843,1996,4,3,3162.0,3.0,2,0.0,0,1,1,0,184.41176470588235,145777.5,0.75,0,32.252851-110.770012
3044867,660000.0,85614,-110.969465,31.836723,3.6,5526,2007,3,3,3514.0,3.0,1,1000.0,0,1,0,1,187.82014797951047,220000.0,1.0,0,31.836723-110.969465
21312595,567500.0,85737,-110.973746,32.386603,1.37,4278,1985,3,3,2591.0,2.0,2,0.0,1,0,0,1,219.02740254727905,189166.66666666663,1.0,1,32.386603-110.973746
21823792,635000.0,85718,-110.952997,32.312168,0.73,5973,1990,4,3,3647.0,3.0,3,5.0,1,0,0,1,174.11571154373456,158750.0,0.75,0,32.312168-110.952997
21822795,855000.0,85749,-110.713835,32.275911,3.32,7312,2003,4,3,4583.0,3.0,4,0.0,0,1,1,0,186.55902247436177,213750.0,0.75,0,32.275911-110.713835
21328011,720000.0,85718,-110.923317,32.293567,0.91,6072,2002,4,4,3272.0,3.0,2,145.0,1,0,0,1,220.0488997555012,180000.0,1.0,1,32.293567-110.923317
21806756,670000.0,85750,-110.863071,32.271746,0.52,4734,1992,4,3,3198.0,2.0,3,95.0,0,1,1,0,209.5059412132583,167500.0,0.75,0,32.271746-110.863071
21702104,920000.0,85641,-110.658439,32.09767,3.03,9825,2007,3,5,4287.0,3.0,1,75.0,0,1,0,1,214.6022859808724,306666.6666666667,1.6666666666666667,1,32.09767-110.658439
21520208,730000.0,85739,-110.87327,32.53291,0.22,4725,2000,3,3,2824.0,3.0,1,198.0,0,1,0,1,258.4985835694051,243333.3333333333,1.0,1,32.53291-110.87327
21802148,575000.0,85750,-110.823313,32.26572,0.83,7647,1979,5,4,4163.0,5.0,3,0.0,0,1,1,0,138.12154696132598,115000.0,0.8,0,32.26572-110.823313
21326855,605000.0,85719,-110.936027,32.24302,0.35,5825,1965,5,4,3417.0,2.0,2,0.0,1,0,0,1,177.05589698565993,121000.0,0.8,0,32.24302-110.936027
21806892,795000.0,85704,-110.977231,32.327308,2.14,5382,1948,4,3,3222.0,0.0,2,0.0,0,1,0,1,246.7411545623836,198750.0,0.75,1,32.327308-110.977231
21401621,735000.0,85750,-110.867879,32.329662,0.92,5631,1995,4,4,3759.0,3.0,2,40.0,0,1,0,1,195.53072625698323,183750.0,1.0,0,32.329662-110.867879
21526718,662500.0,85658,-111.054312,32.420011,0.37,7329,2007,4,3,2595.0,2.0,5,46.0,0,1,0,1,255.2986512524085,165625.0,0.75,1,32.420011-111.054312
21605821,596000.0,85643,-109.935643,32.351352,471.0,10264,1964,4,3,2338.0,0.0,1,0.0,0,1,0,1,254.9187339606501,149000.0,0.75,1,32.351352-109.935643
21704199,660000.0,85745,-111.058523,32.231769,4.8,7711,2000,3,3,3402.0,3.0,0,67.0,1,0,0,1,194.00352733686063,220000.0,1.0,0,32.231769-111.058523
